2023-07-28 09:37:22.2102|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 09:37:26.8647|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 09:37:26.8722|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 09:37:26.8722|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 09:37:26.8730|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 09:37:26.8730|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 09:38:40.8418|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 09:38:43.1248|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 09:38:43.1308|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 09:38:43.1309|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 09:38:43.1320|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 09:38:43.1320|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 09:39:02.6061|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '334232' was not found! |url: https://localhost/api/Event/GetById|action: GetById
2023-07-28 09:39:40.0859|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 09:41:39.6448|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 09:43:35.3727|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 09:43:54.1684|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 09:45:06.3485|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 09:45:59.9911|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 09:45:59.9979|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 09:45:59.9979|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 09:45:59.9987|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 09:45:59.9987|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:02:54.6926|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:02:58.2431|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:02:58.2489|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:02:58.2491|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:02:58.2491|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:02:58.2491|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:03:19.4603|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '122' was not found! |url: https://localhost/api/Order/GetById|action: GetById
2023-07-28 10:07:05.7000|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '213232' was not found! |url: https://localhost/api/Order/Delete|action: Delete
2023-07-28 10:13:50.8802|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
